nombre_desarrollo;desarrollador;nombre de la tipolog¡a;numero de habitaciones;Niveles_departamento;metros_cuadrados;T.C.;precio_en_pesos;precio_en_dolares;pesos_por_metro_cuadrado;numero_de_unidades;Alberca;sun_deck;asadores;suites_de_huespedes;salon_de_juegos;lounge;terraza;gimnasio;lavander¡a;elevadores_de_alta_velocidad;estacionamiento_para_visitas;bodegas;sky_deck;salon_de_usos_multiples;fogateros;caf‚_y_patio;area_de_carga_y_descarga;recepci¢n_con_front_desk;concierge;tecnolog¡a_residencial;control_de_acceso;Raquetbol;Jacuzzi;Sauna;corredor_de_lectura;zona_barr‚;studio_yoga;cancha_de_tenis;area_de_bar_con_tv_para_eventos_deportivos;Room_services_de_cocina_privada;Sistema_de_audio_bose_en_areas_comunes;area_de_juegos_para_ni¤os;guarderia;pet_yard;acondicionado_para_silla_de_ruedas;WI-FI gratis en espacios comunes;alberca_con_tobogan;salon_para_tareas;pista_de_patinaje;chapoteadero_para_bebes;Brincol¡n;Circuito_de_crossfit;terraza_para_ejercicio_al_aire_libre
Nivel 10;;Residencia C+;3;1;207;18,5;$7.461.050,00;$403.300,00;$36.043,72;72;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Nivel 10;;Residencia D;4;1;362;18,5;$13.258.950,00;$716.700,00;$36.626,93;72;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Nivel 10;;Residencia E;4;1;378;18,5;;;0;72;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
cosmopolitan residences;;LONDON 1;2;1;149;18,5;$5.337.250,00;$288.500,00;$35.820,47;7;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;LONDON 2;2;1;152,86;18,5;;;0;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;BARCELONA 1;3;1;217,06;18,5;$7.509.150,00;$405.900,00;$34.594,81;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;BARCELONA 2;3;1;217,31;18,5;$7.890.250,00;$426.500,00;$36.308,73;4;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;BARCELONA 3;3;1;237,66;18,5;;;0;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;BARCELONA 4;3;1;239,06;18,5;;;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;PARIS 1;3;1;227,55;18,5;$7.631.250,00;$412.500,00;$33.536,59;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;PARIS 2;3;1;228,52;18,5;;;0;3;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;PARIS 3;3;1;238,77;18,5;;;0;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;PARIS 4;3;1;240,33;18,5;;;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;TOKYO 1;3;1;193,23;18,5;$6.909.750,00;$373.500,00;$35.759,20;4;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;TOKYO 2;3;1;205,69;18,5;;;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;TOKYO 3;3;1;210,79;18,5;;;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;MILAN 1;3;1;227,16;18,5;;;0;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cosmopolitan residences;;SYDNEY;2;1;179,21;18,5;;;0;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;flat 1a;1;1;41;18,5;$2.582.273,00;$139.582,32;$62.982,27;9;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;flat 1b;1;1;41;18,5;;;$0,00;9;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;studio 1;1;1;48;18,5;$1.481.000,00;$80.054,05;$30.854,17;19;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;studio 2;1;1;36;18,5;$1.955.000,00;$105.675,68;$54.305,56;19;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;loft 1a;1;1;51;18,5;$2.161.000,00;$116.810,81;$42.372,55;18;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;loft 1b;1;1;51;18,5;;;$0,00;19;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;status 1;2;1;72;18,5;$2.800.000,00;$151.351,35;$38.888,89;32;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;luxury 1a;2;1;84;18,5;$3.505.000,00;$189.459,46;$41.726,19;9;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;luxury 1b;2;1;84;18,5;$3.862.000,00;$208.756,76;$45.976,19;10;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;luxury 2a;2;1;88;18,5;$3.624.000,00;$195.891,89;$41.181,82;16;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adamant;milk LIFE INVESTMENTS;luxury 2b;2;1;92;18,5;$3.771.520,00;$203.865,95;$40.994,78;16;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
